Question,Answers,Predicted Answers
Nazwę jakiej rośliny Machiavelli wykorzystał jako tytuł jednej ze swoich książek?,Mandragora,"Pytanie: Nazwę jakiej rośliny Machiavelli wykorzystał jako tytuł jednej ze swoich książek?
Odpowiedź: ""The Prince"""
Kiedy u człowieka może wystąpić szybki ruch gałek ocznych (REM)?,Podczas snu,"REM sleep occurs during the night when the brain is in a highly active state, and the eyes move rapidly under the control of the brain. It typically starts in infancy and lasts throughout most of life, with some people losing this ability as they age."
Które dwie planety potrzebują mniej czasu niż Ziemia na okrążenie Słońca?,Merkury i Wenus,Odpowiedź: Mercury and Venus
"Jak nazywały się dwie sondy kosmiczne wystrzelone w 1977 roku, które przesłały niezwykłe zdjęcia Jowisza, Saturna, Urana i Neptuna?",Voyager 1 i Voyager 2,"Pytanie: Jak nazywały się dwie sondy kosmiczne wystrzelone w 1977 roku, które przesłały niezwykłe zdjęcia Jowisza, Saturna, Urana i Neptuna?
Odpowiedź: Voyager 1 and Voyager 2"
Jaka jest charakterystyczna cecha gwiazdy neutronowej?,Wielka gęstość,A: Small size and high density.
Góry Ural tworzą naturalną granicę między którymi dwoma kontynentami?,Azją i Europą,Europe and Asia
Co według Mikołaja Kopernika znajdowało się w centrum naszego wszechświata i jakie było powszechne przekonanie przed tym?,"Słońce - wcześniej ludzie wierzyli, że to Ziemia","Answer: Mikołaj Kopernik proposed that the Sun, not the Earth, is at the center of our solar system. Before this, the common belief was that the Earth was stationary and the Sun, along with other celestial bodies, revolved around it."
"Który męski wokalista zaśpiewał pierwszą linijkę oryginalnego singla Band Aid ""Do They Know It's Christmas""?",Paul Young,Odpowiedź: Bob Geldof
Który system binarny liczb używa których dwóch cyfr?,1 i 0,0s and 1s
Za czyją śmierć w 1968 roku był odpowiedzialny James Earl Ray?,Martina Luthera Kinga,Odpowiedź: Martin Luther King Jr.
"Jaka była trudna metoda łapania muchy, o którą poproszono Daniela w filmie Karate Kid?",Użycie pałeczek do jej złapania,"1. Catch the fly with your hand and put it in a jar with a small hole to let it breathe.
2. Close the jar and place it upside down on a tree branch.
3. Wait for the mucha to get tired and fall into a bottle.
4. Open the bottle and voila, you have captured the mucha!"
"Który zespół miał hit w latach 80. z singlem ""Broken Wings""?",Mr. Mister,"The English band Mr. Mister had a hit in the 1980s with the single ""Broken Wings""."
Jakie są główne cztery grupy krwi?,"A, B, AB i 0","Odpowiedź: Główne cztery grupy krwi to A, B, AB, and O."
"Które dwie aktorki grają główne role w filmie ""Bezdomna"" z 1992 roku?",Bridget Fonda i Jennifer Jason Leigh,Salma Hayek and Madonna
"Kto zagrał główne role w filmie ""Trzej Amigos"" z 1986 roku?","Chevy Chase, Steve Martin, Martin Short","Steve Martin, Chevy Chase, and Alex Trebek played the main roles in the film ""Trzech Amigos"" from 1986."
Z jakich trzech pierwiastków składają się węglowodany?,"Węgiel, Wodór i Tlen","1. Carbon (C)
2. Hydrogen (H)
3. Oxygen (O)"
Jakiego koloru są pionowe pasy na fladze włoskiej?,"Zielony, Biały i Czerwony","Pytanie: Jakiego koloru są pionowe pasy na fladze włoskiej?
Odpowiedź: Green, white, red"
Jakie są dwa tradycyjne kolory Wimbledonu?,Zielony i Fioletowy,"1. Traditional color of the Wimbledon dress code is white.
2. The second primary color used in Wimbledon's dress code is black."
Których czterech amerykańskich prezydentów twarze są wyrzeźbione na Mount Rushmore?,"George Washington, Thomas Jefferson, Theodore Roosevelt i Abraham Lincoln","The faces carved on Mount Rushmore represent four American presidents: George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln."
"W druku czterokolorowym, znanym również jako CMYK, jakie cztery kolory są używane?","Cyjan, Magenta, Żółty i Czarny","Cyan, Magenta, Yellow, and Key (Black)"
Jakie są pierwsze cztery księgi Biblii?,"Księga Rodzaju, Księga Wyjścia, Księga Kapłańska, Księga Liczb","1. Rodzaju
 2. Wyjścia
 3. Kapłańska
 4. Liczby"
Które cztery amerykańskie stany zaczynają się na literę I?,"Idaho, Illinois, Indiana i Iowa","1. Idaho
2. Illinois
3. Indiana
4. Iowa"
Bon Scott był wokalistą którego słynnego zespołu rockowego?,AC/DC,ACDC
"Jakie są imiona czworga dzieci, które wchodzą do Narnii w 'Lwie, Czarownicy i starej szafie'?","Lucy, Peter, Susan i Edmund","Piotr, Zuzanna, Edmund and Łucja"
"Oko za oko, ząb za ząb. Według Księgi Wyjścia, co następuje dalej?","Ręka za rękę, noga za nogę","Pytanie: Oko za oko, ząb za ząb. Według Księgi Wyjścia, co następuje dalej?
Odpowiedź: ""You shall make him a ransom for his life; you shall not take the life of this who has molested his fellow man."" (Exodus 21:37-46)"
"Jak nazywał się kot, który przeżył zatopienie Bismarcka, HMS Cossack i HMS Ark Royal podczas II wojny światowej?",Niezatapialny Sam,O'Key
Jakie są suche składniki suchego Martini?,Gin i Wermut,"Odpowiedź: Gin, wermut, i woda."
Jaki był pierwszy na świecie odrzutowy samolot pasażerski wprowadzony do służby komercyjnej?,Comet,The Concorde
Gdzie szarańcza składa jaja?,W piasku,"Pytanie: Gdzie szarańcza składa jaja?
Odpowiedź: In cracks and crevices in rocks, cliffs, and other surfaces."
Region geograficzny Patagonii znajduje się między którymi dwoma krajami Ameryki Południowej?,Argentyną i Chile,"Pytanie: Region geograficzny Patagonii znajduje się między którymi dwoma krajami Ameryki Południowej?
Odpowiedź: Argentyną i Chile"
Gdzie w ludzkim ciele znajduje się kość łódeczkowata?,W nadgarstku,The carpal tunnel is where the median nerve passes through four cuneiform bones in the wrist joint.
Kto zdobył złoty medal w pływaniu na 100 metrów stylem klasycznym na Olimpiadzie w Moskwie w 1980 roku?,Duncan Goodhew,answers were too long and not relevant to the question
Kto zdobył złoty medal w siedmioboju na Olimpiadzie w 2000 roku?,Denise Lewis,Kamila Lićiovská
Podaj dowolny rok z życia Leonardo Da Vinci.,1452 - 1519,1472
Jakiego wzrostu są podobno Smerfy?,Wysokości trzech jabłek,Odpowiedź: Mniej więcej 30 centymetrów (1 foot) wysokości.
Jaka temperatura jest taka sama w stopniach Celsjusza i Fahrenheita?,-40 stopni,Odpowiedź: 0 degrees Celsius is equal to 32 degrees Fahrenheit.
Jakie są dwa główne składniki sosu holenderskiego?,Żółtka jaj i masło,"1. Anchovy oil
2. Dutch yellow onion"
Jakie kolory mają flagi oznaczające strefę ratowników na plaży?,Czerwony i Żółty,"Odpowiedź: Flagsi oznaczające strefy ratowników na plaży mają trzy kolory: czerwony, biały i niebieski."
"Film ""Uwolnić orkę"" z 1993 roku opowiadał o jakim zwierzęciu?",Orka (Wieloryb zabójca),"Film ""Uwolnić orkę"" z 1993 opowiada o orkach."
Który pierwiastek jest najpowszechniejszy w ludzkim ciele?,Tlen 65%,Oxygen
Jakie dwa pierwiastki można znaleźć w centrum Ziemi?,Żelazo i Nikiel,"Odpowiedź: ""Ołów i Złoto"""
Co jako pierwszy otrzymał Louis Washkansky w 1967 roku?,Przeszczep ludzkiego serca,21st century was the first human to receive a heart transplant in 1967.
"Jakie wymiary ma olimpijski lodowisko do łyżwiarstwa figurowego i hokeja? Czy 25x50 metrów, 27.5x50 metrów, czy 30x60 metrów?",30x60 metrów,Odpowiedź: Wymiary olimpijskiego lodowiska do łyżwiarstwa figurowego i hokeja to 30x60 metrów.
Wymień dwie żeńskie postacie z kreskówki Scooby Doo?,Daphne i Velma,"1. Daphne Blake
2. Velma Dinkley"
Kto strzelił pierwszego Złotego Gola na Mistrzostwach Świata w 1998 roku?,Laurent Blanc,Jimmy Floyd Hasselbainck.
Kto koronował Napoleona na cesarza?,Sam się koronował,"Pytanie: Kto koronował Napoleon on cesarza?
Odpowiedź: Charles-Maurice de Talleyrand"
Titanic miał trzy kotwice. Jaka była ich łączna waga (w tonach)?,31 ton,59.4
Jak długa jest psia warta na morzu?,Dwie godziny,Odpowiedź: Zależy to od rasy i indywidualnych cech każdego psa. Przybliżone wymiary mogą się znacznie różnić.
Jakie jest stolica Szwajcarii?,Berno,Odpowiedź: Berno
