question,answers
What was the hometown of Sgt. Snorkel in Beetle Bailey?,"Pork Corners, Kansas"
How many times did Ernest Hemingway revise the last page of A Farewell To Arms?,39 times
"What was the maiden name of Blondie Bumstead, the comic-strip wife of hapless Dagwood Bumstead?",Boopadoop
What famous comic strip character was inspired by the 1936 Henry Fonda film Trail of the Lonesome Pine?,Al Capp's Li'l Abner
"What did L. Fran Baum, author of the The Wonderful Wizard of Oz, call his home in Hollywood?",Ozcot
How much time did Jonah spend in the belly of the whale?,Three days and three nights
For what event in February 1964 did evangelist Billy Graham break his strict rule against watching TV on Sunday?,The Beatles' first appearance on The Ed Sullivan Show
"How tall was Goliath, the Philistine giant slain by David with a stone hurled from a sling?","Six cubits and a span,"
"""In the Bible, for what """"price"""" did Esau sell his birthright to his younger twin brother, Jacob?""",Pottage of lentils (Genesis 25:29-34)
What bird is named for the apostle Peter?,"The petrel, from a diminutive form of Petrus, or Peter, in Latin"
In what language was the New Testament originally written?,In Greek
What was the total population of the world at the time of Christ?,About 200 million
What was Scarlett O'Hara's real first name?,Katie
"In the comic strips, what was the name of Mandrake the Magician's giant partner?",Lothar
Who wrote the story upon which Alfred Hitchcock based his 1963 suspense film The Birds?,"Daphne du Maurier, best known for Rebecca"
How was Oflag IVC prison camp better known?,Colditz
What were the first two names of 'Cannonball' Adderley?,Julian Edwin
"""According to hippy guru Dr. Timothy Leary, what did you do before you """"drop out?""""""","Turn on, tune in"
Barry Clifford found fame discovering what?,Sunken pirate ships
What did Franz Kafka do for a day job?,Worked in insurance
Who had 70s No 1 hit with Show and Tell?,Al Wilson
How many miles long is the canal which links the Pacific and Atlantic Oceans?,50 miles
Who brought to an end Jahangir Khan's long unbeaten run of success in squash in the 80s?,Ross Norman
What finally knocked One Sweet Day off the No 1 position in the charts in the 90s?,Because You Loved Me
What was the title of Kitty Kelley's book about Elizabeth Taylor?,Elizabeth Taylor: The Last Star
Which artist created the Katzenjammer Kids?,Rudolph Dirks
What was Elvis's last No 1 in his own lifetime?,Suspicious Minds
What were D W Griffith's first names?,David Wark
Whose musical works included Composition For Orchestra and Philomel?,Milton Babbit
What did Arthur Blessitt carry with him on an around-the-world walk taking in 277 nations?,A wooden cross
"""According to the modern Olympics founder Baron de Coubertin, """"The essential thing is not conquering but..."""" what?""",Fighting well
What disability did singer Al Hibbler have?,He was blind
Which supermodel was married to Rod Stewart?,Rachel Hunter
Flamenco dancer Joaquin Cortes hit the headlines in 1996 over his relationship with which supermodel?,Naomi Campbell
What was Green Acres called on radio?,Granby's Green Acres
What was the name of the vet in Daktari?,Marsh Tracy
"In Laverne & Shirley, what was Laverne's last name?",De Fazio
Which character did Burt Reynolds play in Evening Shade?,Wood Newton
Who did Debbie play in The Debbie Reynolds Show?,Debbie Thompson
Which character did Betty White play in The Betty White Show?,Joyce Whitman
Which hotel sitcom was based on the British series Fawlty Towers?,Amanda's
What was Paul Newman's first movie?,The Silver Chalice
Which musical featured the song How To Handle A Woman?,Camelot
Who was runner-up when Jody Scheckter won motor racing's Formula One Championship?,Gilles Villeneuve
Who had a 50s No 1 with Stagger Lee?,Lloyd Price
Who wrote the lyrics for the song form Notting Hill sung by Elvis Costello?,Herbert Kretzmer
What was the name of the orphanage where The Blues Brothers were brought up?,Saint Helen of the Blessed Shroud
Who was the voice of O'Malley in The Aristocats?,Phil Harris
What was the name of Bob Fosse's character in All That Jazz?,Joe Gideon
What was the name of the high school in Porky's?,Angel Beach
What are the last lines of My Fair Lady?,Where the devil are my slippers?
What was the name of NATO spokesman in the 1999 Kosovo crisis?,Jamie Shea
Who was Oliver North's secretary during the Irangate scandal?,Fawn Hall
Who was the defending champion when Andre Agassi first won Wimbledon singles?,Michael Stich
Which hit starting with the word Rock took over NO 1 from Rock The Boat?,Rock Your Baby
"How did James F Fixx, promoter of jogging for good health, die in 1984?",Heart attack while jogging
What is Jennifer Jason Leigh's real name?,Jennifer Morrow
What was the name of the first weather satellite?,Tiros
What was Elvis Presley's first album which did not have his name in the title?,King Creole
Who skippered Stars & Stripes in the America's Cup in 1987 and 1988?,Dennis Conner
Who captained the US Ryder Cup team in 1991?,Dave Stockton
In what years did John Henry win the Arlington Million?,1981 & 1984
Who won the first all American French Open Men's Singles final for almost 40 years in the 90s?,Jim Courier
What was the first British-trained horse to run in the Kentucky Derby?,Bold Arrangement
Which Robin was the first yachtsman to sail non-stop around the world?,Knox-Johnson
What is Magic Johnson's real first name?,Earvin
Which pop singer blamed his cocaine addiction of the break0-up of his relationship with Victoria principal?,Andy Gibb
Which US soap actress's real name is Patsy Mclenny?,Morgan Fairchild
Which member of the Maverick clan was played by a future 007?,Beau (Roger Moore)
What did the Inspector have on his car sticker in Sledge Hammer?,I Love Violence
Who hosted the early series of The Pink Panther cartoons?,Lenny Schulz
"In Makin' It, who was the John Travolta-type character?",Billy Manucci
The actor who played Jack Geller in Friends was married once to which superstar?,Elliott Gould married Barbra Streisand
Who guested in Happy Days where his daughter was playing Jenny Piccalo?,Phil Silvers
"In the TV sitcom Adam's Rib, who played the Spencer Tracy Film role?",Ken Howard
Which character did Tom Hanks play in early episodes of Family Ties?,Ned Keaton
"In Top Cat, who was the voice of Choo Choo?",Marvin Kaplan
Who was Greece's first socialist Prime Minister?,Papandreou
Who beat Carl Lewis's best time of 9.86 seconds for the 100 meters?,Leroy Burrell
Name France's last Wimbledon men's singles winner of this century.,Yvon Petra
Who was the oldest US Open golf champion of the 20th century?,Hale Irwin
What distance is the Breeders' Cup Sprint?,Six furlongs
Who was Super Bowl MVP in successive years in 1967 and 1968?,Bart Star
In which decade of this century were airmail letters first carried?,2nd decade
"If edu appears at the end of an address, what is the host computer?",College or University
Where does a bounced email return to?,Sender
"Which musical was Lerner and Loewe's last major success, in 1960?",Camelot
Which musical about King Arthur became a byword for the JFK years?,Camelot
Who was the senior US diplomat held in the US Embassy in Tehran?,Bruce Laingen
Who were the first two men to drive on the Moon?,David Scott and James Irwin
In which movie did Bogart have his first gangster part?,The Petrified Forest
What was the last No1 hit for the Everly Brothers?,Cathy's Clown
Where is the Great White Way?,New York (Broadway)
Off which pitcher did Babe Ruth smash his 714th and final Major League home run?,Guy Bush
Which hospital was Princess Diana taken to after her tragic car accident?,La Pitie-Salpetriere
Which two Middle-Eastern countries fought a war from 1980 to 1988?,Iran and Iraq
With what is the Japanese art of bonsai concerned?,Miniature Trees
Which two countries have a border with Liechtenstein?,Switzerland and Austria
Who are the only two English sovereigns from whom Prince Charles is not descended?,Charles II and James II
How often are American presidential elections held?,Every four years
Which are the two main political parties in the USA?,Democrats and Republicans
"Who played the part of Piers Fletcher Dervish, personal assistant to MP Alan B'stard, in the television comedy series The New Statesman?",Michael Troughton
For what purpose did Melvil Dewey devise his decimal system in 1876?,Classifying books
What kind of elements are found in a pure state in nature?,Native elements
Which quantity has direction as well as magnitude?,Vector quantity
What is studied in the science of cryogenics?,Very low temperature
What kind of an animal is a marmoset?,An American monkey
Why do fish have gills?,To absorb oxygen
Machiavelli used which plant's name as the title of one of his books?,Mandrake
When might a person show rapid eye movement (REM)?,During sleep
What is the term applied to the process of gathering together weather forecasts from various recording stations?,Synoptic forecasting
CITES is an international agreement on which environmental problem?,The trade in endangered species
Which two planets take less time than Earth to orbit the sun?,Mercury and Venus
"What was the name of two space probes launched in 1977 which sent back remarkable pictures of Jupiter, Saturn, Uranus and Neptune?",voyager 1 and voyager 2
What is the defining feature of a neutron star?,Great density
What two letters are worth the most in a game of Scrabble?,Q and Z
The Ural Mountains form a natural border between which two continents?,Asia and Europe
"What did Nicholas Copernicus argue was at the centre of our universe, and what was the common belief before then?",The Sun - before then people believed it was the Earth
Which male singer sang the opening line of the original Band Aid single Do They Know It's Christmas?,Paul Young's
"In the series of children's Noddy books, what is the name of the policeman?",Mr. Plod
"What are the first names of the four children who enter Narnia through a wardrobe in The Lion, The Witch and The Wardrobe?","Susan, Peter, Edmund and Lucy"
The binary system of numbers uses which two numerical digits?,1 and 0
James Earl Ray was responsible for who's death in 1968?,Martin Luther King's
What were the christian names of Dr Jekyll and Mr Hyde?,Henry (Jekyll) and Edward (Hyde)
What were the christian names of the three Bronte sisters?,"Anne, Charlotte and Emily"
John Travolta and Olivia Newton John had UK number one hit singles in 1978 with which two songs?,You're The One That I Want and Summer Nights
"In the song The Twelve Days Of Christmas, what did my true love give to me on the 12th day?",12 Drummers Drumming
"Who wrote the Christmas story, The Snowman?",Raymond Briggs
What was the challanging method of catching a fly asked of Daniel in the film The Karate Kid?,Using chopsticks to do it
Which band had a hit in the 1980s with the single Broken Wings?,Mr. Mister
"Which 80 year old said well, good for me, after being told she was the oldest person to win an Oscar for acting?",Jessica Tandy
"A woman was pushing her car. When she stopped at a hotel, she realised she was bankrupt. Why?",She was playing Monopoly
"An aeroplane carrying 40 people crashed over the Atlantic Ocean, with every single person being killed. Yet two passengers survived. How is this possible?",They were married.
What was the name of the character played by Richard Wilson in One Foot In The Grave?,Victor Meldrew
Which three footballers won the BBC Sports Personality Of The Year Award in the 20th century?,"Bobby Moore, Paul Gasgoine and Michael Owen"
What were the first names of the three Bronte sisters?,"Anne, Charlotte and Emily"
What are the main four blood groups?,"A, B, AB and O"
Who was Britain's first million pound footballer?,Trevor Francis
Which two actresses play the leading roles in the 1992 film Single White Female?,Bridget Fonda and Jennifer Jason Leigh
"Which song includes the lyrics I laughed at all of your jokes, my love you didn't need to coax?",Maggie May by Rod Stewart
Which song gave Windsor Davies and Don Estelle a number one hit in 1975?,Whispering Grass
"In the world of politics, what was broadcast live on British television for the first time on 20th March 1990?",The Budget
Which company manufactured Love Hearts - packets of small round sweets each of which had a short message on?,Swizzel
Which TV actor had a number one hit single in 1986 with 'Every Loser Wins'?,Nick Berry
Who played the title roles in the 1986 film The Three Amigos?,"Chevy Chase, Steve Martin, Martin Short"
Which three elements make up carbohydrates?,"Carbon, Hydrogen and Oxygen"
"Which one of the following singles was not a Christmas number one? Lonely This Christmas by Mud, Last Christmas by Wham or Merry Christmas Everyone by Shakin Stevens?",Last Christmas by Wham
Which controversial documentary film won the Palme D'Or at the Cannes Film Festival in May 2004?,Fahrenheit 9/11
Who are the famous mother and father of Apple Blythe Alison Martin who was born in May 2004?,Gwyneth Paltrow and Chris Martin
Who played Shakespeare in the Oscar winning film Shakespeare In Love?,Joseph Fiennes
Who did Sue Barker replace as host of the BBC quiz show A Question Of Sport?,David Coleman
Who were the three stars of the TV show The Goodies?,"Tim Brooke-Taylor, Graeme Garden and Bill Oddie"
Who were the original presenters on Channel 4's Big Breakfast?,Chris Evans and Gaby Roslin
What were the christian names of the Blues Brothers?,Jake and Elwood
What colour are the vertical stripes of the Italian Flag?,"Green, White and Red"
What are the two traditional colours of Wimbledon?,Green and Purple
Which four American Presidents have their faces scultped on Mount Rushmore?,"George Washington, Thomas Jefferson, Theodore Roosevelt and Abraham Lincoln"
"In four colour process printing, which is also known as CMYK, which are the only four colours that are used?","Cyan, Magenta, Yellow and Black"
What are the first four books of the Bible?,"Genesis, Exodus, Leviticus, Numbers"
Which four American states begin with the letter I?,"Idaho, Illinois, Indiana and Iowa"
Bon Scott was the lead singer for which famous rock band?,AC/DC
"Which Christmas number one includes the line All I wish that everyday was christmas, what a nice way to spend the year?",Merry Christmas Everyone
Which Generation Game presenter was famous for his catchphrase Shut That Door?,Larry Grayson
Who hosted the BBC gameshow Going For Gold which featured contestants from various European countries?,Henry Kelly
What were the names of the four original zones in The Crystal Maze?,"Aztec, Futuristic, Medieval and Industrial"
What was the first line of the Italian song O Sole Mio altered to in a long series of TV adverts for a food brand?,Just One Cornetto
"Which three films are tied for winning the most Academy Awards, with 11 Oscars each?","Ben-Hur, Titanic and The Lord of the Rings: The Return of the King"
On which BBC TV show did the plasticine character Morph first appear?,Take Hart
"In the BBC's poll of 2002 to find the 100 Greatest Britons, which four people in the top ten were alive during the 20th century?","Winston Churchill, Princess Diana, The Queen and John Lennon"
Which four letters are worth 3 points each in the game of scrabble?,"B, C, M and P"
"What are the first names of the four children who enter Narnia in The Lion, The Witch And The Wardrobe?","Lucy, Peter, Susan and Edmund"
"Which Liverpool player is currently the record FA Cup final goalscorer, with 5 goals to his name?",Ian Rush
Which 40 year old captained the 1982 World Cup winners?,Dino Zoff
Who played Fusilier Dave Tucker in Soldier Soldier?,Robson Green
Which 21 year old model did Rod Stewart marry in 1990?,Rachel Hunter
"In football, who was Liverpool's captain when they first won the European cup final in 1977?",Emlyn Hughes
"Steve Davis reached every final of the Snooker World Championship between 1983 and 1989, but who were the two players who beat him?",Dennis Taylor and Joe Johnson
"In the song Twelve Days Of Christmas, what are there 11 of?",Pipers Piping
"In 1986, whose song was Christmas number one in the UK, 2 years after he had died?",Jackie Wilson's
"Eye for eye, tooth for tooth.  According to Exodus what comes next?","Hand for hand, foot for foot"
Which part did Deforest Kelley play in the TV series Star Trek?,Dr. Leonard Bones McCoy
What is the surname of the Australian cricketing twins Mark and Steve?,Waugh
Who is Pauline Fowler's twin in Eastenders?,Pete Beale
What is the name of the black panther in The Jungle Book?,Bagheera
Which Valentine had number one hits in the UK called Finger Of Suspicion and Christmas Alphabet?,Dickie Valentine
Which American golfer is affectionately called The Walrus for his portly build and his ample moustache?,Craig Stadler
Which member of Take That shares his name with a fruit?,Jason Orange
"If Tony Blackburn won in 2002, Phil Tuffnell won in 2003, and Kerry Katona won in 2004, who won in 2007?","Christopher Biggins. (I'm a Celebrity, Get Me Out of Here. Joe Pasquale 04, Carol Thatcher 05, Matt Willis 06, and Joe Swash 08)."
"If David Lloyd George is 1, Andrew Bonal Law is 2, and Stanley Baldwin is 3, who is 4?",Ramsay MacDonald. (Prime Ministers post WW1).
Who were Tom and Barbara's neighbours in The Good Life?,Margo and Jerry Leadbetter
"Who has presented City Hospital, Departure Lounge and Last Choir Standing?",Nick Knowles
"Which Radio 4 comedy panel game has run since 1972, but did not air in 2008 following the death of it`s presenter?","I`m sorry, I haven`t a clue"
"Who joined the Eggheads team in 2008, having won Are You An Egghead?",Barry Simmons
Change the first letter in the surname of a famous jockey to get the surname of a famous New Zealand cricketer. Whats the name of the jockey and the cricketer.,Frankie Dettori and Daniel Vettori
"Dr Smith was the cowardly troublemaker in ""Lost in Space"". What was his first name?",Zachary
Who directed the 1960 film The Magnificent Seven?,John Sturges
What was given by my true love on the eighth day of Christmas?,Eight maids-a-milking
What was Kylie Minogue's first UK number one single?,I Should Be So Lucky
Which sport or pastime would you be playing if you flicked your wink with your squidger into a tiddle?,Tiddleywinks
What is the longest river in Scandinavia ?,The River Glomma
"What was the name of the cat that survived the sinking of the Bismarck, HMS Cossack and the HMS Ark Royal in WW II ?",Unsinkable Sam
Glenis the Guinea Pig is which rodent superstar's girlfriend?,Roland Rat's
In the 1997 comedy movie MouseHunt which two comic actors play the parts of the Smuntz brothers Ernie and Lars?,Nathan Lane and Lee Evans
What was the rank Steve McQueen's character in The Great Escape?,Captain Hilts
In which two James Bond films did Jaws appear?,The Spy Who Loved Me and Moonraker
What were the names of the gay couple in Four Weddings and a funeral?,Gareth and Matthew
What is the name of the main ant from A Bug's Life?,Flik
Before Red Nose Day there were two comic relief records. What was the first one called and who was it by?,Living Doll by Cliff Richard and The Young Ones
What was the name of Tex Ritter's horse?,White Flash
What are the five first names of the members of the pop group Girls Aloud?,"Cheryl (Cole), Nadine (Coyle), Sarah (Harding), Nicola (Roberts) and Kimberley (Walsh)"
"In the Bible, what are the five books that make up the Pentateuch?","Genesis, Exodus, Leviticus, Numbers and Deuteronomy"
What are the names of the four houses at Hogwarts in the Harry Potter novels?,"Gryffindor, Ravenclaw, Hufflepuff, and Slytherin"
Who was the first winner of ITV's Dancing On Ice?,Gaynor Faye
"As of 2009, who is the only Scottish footballer to have been named European Footballer of the Year?",Denis Law
Real life police officers Buddy Russo and Jimmy Popeye Doyle are depicted in the movie The French Connection by which two actors?,Gene Hackman and Roy Scheider
"Who was the dentist, gambler and gunfighter of the American Old West, who is usually remembered for his friendship with Wyatt Earp?",John Henry Doc Holliday
What was renamed as BBC Radio 4 in 1967?,BBC Home Service
What are the dry constituents of dry Martini?,Gin and Vermouth
What was the world's first jet-driven airliner to enter commercial service?,The Comet
How is the date of the summer bank holiday determined in England and Wales?,The last Monday in August
Where do locusts lay their eggs?,In sand
The geographic region of Patagonia is situated between which two South American countries ?,Argentina and Chile
"Who reached No.1 in the UK charts in 1977 with 'Don't cry for me, Argentina ' ?",Julie Covington
"Nicknamed the sweater girl, which famous actress's daughter, Cheryl, killed her mother's mob-linked boyfriend Johnny Stompanato?",Lana Turner's
Where in the human body would you find the scaphoid bone?,In the wrist
What was the name of the school at which Ken Barlow was a teacher in the TV soap opera Coronation Street?,Weatherfield Comprehensive
Who won a gold medal in the 100 metres breaststroke at the 1980 Olympics in Moscow?,Duncan Goodhew
Who won the gold medal in the heptathlon in the 2000 Olympics?,Denise Lewis
Name any year that Leonardo Da Vinci was alive.,1452 - 1519
The Smurfs are described as being how tall?,Three apples high
"Commissioned by Queen Victoria in memory of her husband, in which Royal park would you find the Albert Memorial?",Kensington Gardens
What temperature is the same in Celsius as it is in Fahrenheit?,-40 degrees
Name the follow up to the Clint Eastwood film 'Every Which Way But Loose'.,Any Which Way You Can
Whose 'wings are like a shield of steel'?,Batfink's
What is Paddington Bear's favourite snack?,Marmalade Sandwiches
Who were the two voice artists of the cartoon characters Dangermouse and his sidekick Penfold?,David Jason and Terry Scott
What are the two main ingredients of Hollandaise sauce?,Egg yolks and butter
What was the name of the episode in which Rodney first met Cassandra?,Yuppy Love
Who played Aunt Renee in The Frogs Legacy?,Joan Sims
"On a beach, what colours are the flags denoting a lifeguard area?",Red and Yellow
Which actress played Summer in the TV show The OC?,Rachel Bilson
Which player was involved in Britain's first million pound transfer?,Trevor Francis
Who was the artist on the TV series Vision On?,Tony Hart
"What links Cheryl Cole, Dannii Minogue, and Sharon Osbourne?",X-Factor judges
What is measured with a Snodgrass grathodynamometer?,The strength of shark bites
What are the two gangs in the musical West Side Story?,The Sharks and the Jets
The 1993 movie Free Willy was centred around what type of animal?,Killer Whale (Orca).
Which element is most common in the human body?,Oxygen 65%
Which two elements would you find at the centre of the Earth?,Iron and Nickel
"In 1967, Louis Washkansky became the first person to receive what?",A human heart transplant
Who writes Last Of The Summer Wine?,Roy Clarke
"What size is an Olympic sized ice rink used for figure skating and ice hockey? Is it 25x50 metres, 27.5x50 metres, or 30x60 metres?",30x60 metres
Name the two female characters in Scooby Doo?,Daphne and Velma
Which singer/songwriter was married to record producer & songwriter Tony Hatch?,Jackie Trent
"On TV, who played the long suffering wife of Alf Garnett in ‘Till Death Us Do Part’?",Dandy Nichols
"According to the nursery rhyme Jack And Jill, Jack bound his head with which two items?",Vinegar and brown paper
What is the name of the base that the puppets of International Rescue use?,Tracy Island
What are the first names of the two Wild West outlaws who were in the James-Younger gang?,Jesse and Frank James
Which two brothers appeared together in the 1996 FA Cup playing for Manchester United?,Gary and Phil Neville
Which two Lincolnshire brothers are attributed with the Methodist movement?,John and Charles Wesley
Which former World Darts Champion was given the nickname 'The Bronze Adonis'?,Steve Beaton
Which Guns n Roses song from the album Appetite For Destruction begins: Your daddy works in porno now that mommy's not around. She used to love her heroin but now she's underground?,My Michelle
Which singer was backed by The Vandellas?,Martha Reeves
What name was given to the spin-off off the comedy series Porridge?,Going Straight
What is the name of the only book written by Anna Sewell?,Black Beauty
What was the name of Adam and the ants first album called?,Dirk Wears White Sox
Name the Doctor's robotic companion from the episode The Kings Demons?,Kamelion
Which World Champion darts player has the nickname Darth Maple,John Part
"In Worzel Gummidge, who played the character of Aunty Sally?",Una Stubbs
Name the actors who played Batman and Robin in the 60s.,Adam West and Burt Ward
"In the lyrics of the Twelve Days of Christmas, what are there nine of?",Ladies Dancing
With the Exception of the reccuring featured cast who has appeared in the most James Bond films?,Shane Rimmer
what was the name of the cow in The Magic Roundabout?.,Ermintrude
Windsor Davies played which character in It Ain't Half Hot Mum?.,Sergeant Major Shut Up Williams
. Bill Waddington played which Coronation Street character?,Percy Sugden
Which ex Gaiety Girl was managing director of Aintree from 1958 to 1973?,Mirabel Topham
On which horse did Tony McCoy win the 2010 Grand National on his 15th attempt?,Don't Push It
Who won the 2010 French Open Women's Singles final in June?,Francesca Schiavone
Who scored the first ever Golden Goal in the 1998 World Cup?,Laurent Blanc
Credits on all Bond films finish with which same four words?,James Bond Will Return
What was the name of the first prefabricated building that was erected on the medieval London Bridge in 1577?,Nonsuch House
The Crystal Palace was re-erected on which hill in South London after the Great Exhibition of 1851?,Sydenham Hill
After which battle did the British Life Guards first obtain their breast-plates?,Waterloo - from Napoleon's defeated Cuirassier's breast-plates
Who played the title role in the movie Billy Elliot.,Jamie Bell
On a cricket field which principal position is between Mid-on and Square leg?,Mid-wicket
Which 60s fashion icon gave it all up to run a hotel in Cornwall?,Jean Shrimpton
The Profumo affair is frequently blamed for bringing down the Conservative government in 1964. Who created the scandal by introducing John Profumo to Christine Keeler?,Stephen Ward
The Biba boutiques were at the heart of swinging London and at one time had the highest turnover of any British retail company. Who founded and ran Biba?,Barbara Hulanicki
"Cullen Skink is a hearty soup made with potatoes, onion and which fish?",Smoked Haddock
Which food dish is named after one of Napoleons famous victories?,Chicken Marengo
Who crowned Napoleon as Emperor?,He crowned himself
Who was the Supreme Allied Commander during the D Day landings of 1944?,General Dwight D Eisenhower
"In which country is Fishoek, a wine producing coastal area.",South Africa - Western Cape.
"Which actress played Miss Moneypenny in the James Bond films fourteen times, from Dr. No (1962) until her final performance of the character in A View to a Kill (1985).",Lois Maxwell
What is the name of the church in The Vicar of Dibley?,St Barnabus
On what part of the body would you find the Mount of Venus?,Palm of the hand
Who in the early 1960's became known as the King of The Twist?,Chubby Checker
Which is the only country to have hosted the winter and summer Olympics in the same year?,Germany 1936
The famous Chilean miners saved in 2010 were originally mining for what  two substances?,Copper and Gold
The Titanic had three anchors.  What was their combined weight (in tons)?,31 tons
"What are Pioneer, Challenger and Pilgrim varieties of?",Varieties of Hop
What are the first names of the Saatchi brothers? (Both required for 1 point),Maurice and Charles
"Who wrote the novel Black Beauty, first published in 1877?",Anna Sewell
Which actor has played the policeman Nick Rowan in the UK TV retro soap Heartbeat'?,Nick Berry
"On 1st May 2014, renowned Michelin star chef Jason Atherton opened City Social' restaurant situated on level 24 of Tower 42 in London. Who was the previous highly rated chef to run a restaurant at this location?",Gary Rhodes
"The Disney Brothers Cartoon Studio was set up on October 16 1923 by Walt Disney and his brother, what was his brothers' first name?",Roy
Walt Disney holds the record for most Oscar nominations at 59. How many of these were converted into Oscar awards? (+/- two),22 awards
The Malvern Hills are located in which three English counties?,"WORCESTERSHIRE, Herefordshire and Gloucestershire."
The creation of the county of Cumbria saw the disappearance of which two former counties?,CUMBERLAND and Westmorland.
"Name the third light blue property on a Monopoly board, that joins The Angel Islington & Euston Road.",Pentonville Road
Where does Agatha Christie's Miss Marple live?,St.Mary Mead.
"In Greek mythology, who was the mother (and later wife) of King Oedipus?",Queen Jocasta of Thebes
"In the US cartoon series King of the Hill, what is Hank Hill's profession?",Propane salesman
"Who succeeded Mervyn King, Governor of the Bank of England until 2013?",Mark Carney
What were the names of the 3 Bronte sisters?,"Anne, Charlotte and Emily"
How long does it take from light from the Sun to travel to Earth?,8 minutes and 20 seconds
The Rovers Return is now a free house but is still supplied by which brewery?,Newton & Ridley
This Cornish pub is the name of a Daphne du Maurier novel and Alfred Hitchcock film.,Jamaica Inn
"Who wrote the novel Dracula, published in 1897?",Abraham Bram Stoker
Which country was the first to grant all adult women the right to vote for it's Parliament?,New Zealand in 1893
"In Toy story, which of Woddys' boots has Andy's name written on it?",The right one
"What is the name of the home ground of Queen of the South Football Club in Dumfries, Scotland?",Palmerston Park
What is the name of the clerical detective created by G.K. Chesterton?,Father Brown
"Sue Johnston and Ricky Tomlinson play Jim and Barbara Royle in the Royle Family, but which other well known married couple did they play in the 80's?",Bobby and Sheila Grant
"The actress who played Mindy in Mork and Mindy, or an artisan builder of clay walls using straw?",Dawber
Who hosted Call My Bluff?,Robin Ray
Who starred alongside Polly James in the first series of The Liver Birds?,Pauline Collins
What was the name of the character played by Frances de la Tour in Rising Damp?,Miss Jones
What was Marble Arch in London originally designed to be?,The entrance to Buckingham Palace.
What are the two States that are rectangular?,Colorado and Wyoming
"In 1919, Chaplin formed United Artists with 3 other Hollywood greats. Name one.","Douglas Fairbanks , Mary Pickford and D W Griffith"
The multi Oscar winning Chariots of Fire was based on the lives of which 2 athletes?,Eric Liddell and Harold Abrahams
What is the chemical compound Calcium Oxide commonly known as?,Quicklime (or burnt lime)
The wool of a Shahtoosh shawl comes from which endangered animal?,Tibetan antelope (or Chiru)
Who was the first black footballer to play for England?,Viv Anderson
"In the book by Miguel de Cervantes, who was Don Quixote’s squire?",Sancho Panza
What was the name of the camp which was set up in Chile when 30 miners where trapped underground?,Camp Hope
How long is a dog watch at sea?,Two hours
"What is the only English word, and its derivatives, to end in ‘mt’?",Dreamt
What are the Secret Service names for Barack and Michelle Obama?,Renegade and Renaissance
"Which famous race horse, and British Grand National winner, died on 18th October 1995?",Red Rum
"In Southern Australia, a strong, hot, dry dusty wind is known by what name?",Brickfielder
Who was elected President of the European Parliament in July 2009?,Jerzy Buzek
"One of the principal rules taught in medical school, ‘Primum non nocere’, translates to what in English?",‘First do no harm’
What colours are on the national flag of Belgium?,"Black, yellow and red"
What were the first names of writer C.S.Lewis?,Clive Staples
