Question,Answers,Predicted answers
"С каква цел Мелвил Дюи разработва своята десетична система през 1876 година?","За класифициране на книги","За универсална система за класификация на книги в библиотеките"
"Какви видове елементи се срещат в чисто състояние в природата?","Естествени елементи","Злато, сребро, мед, желязо, алуминий"
"Коя величина има както посока, така и големина?","Векторна стойност","Скорост"
"Какво се изучава в науката за криогениката?","Много ниски температури","Криогенни процеси и системи"
"Какъв вид животно е мармозетката?","Американска маймунка","Малък примат от семейство Капуцинови"
"Защо рибите имат хриле?","За да дишат кислород","За дишане под вода"
"Макиавели използва името на кое растение като заглавие на една от книгите си?","Мандрагора","Принцът"
"Кога човек може да покаже бързо движение на очите (БДО)?","По време на сън","По време на етапа на съня с бързо движение на очите"
"Кои две планети отнемат по-малко време от Земята, за да обиколят слънцето?","Меркурий и Венера","Меркурий и Венера"
"Какви са имената на двете космически сонди, изстреляни през 1977 г., които изпратиха забележителни снимки на Юпитер, Сатурн, Уран и Нептун?","Вояджър 1 и Вояджър 2","Voyager 1 и 2"
"Каква е определящата характеристика на неутронната звезда?","Висока плътност","Състои се предимно от неутрони"
"Уралските планини образуват естествена граница между кои два континента?","Азия и Европа","_"
"Какво според Николай Коперник е било в центъра на нашата вселена и какво е било общото вярване преди това?","Слънцето, а преди това хората вярвали че това била Земята","Слънцето, преди това се е смятало че е Земята"
"Кой певец от групата на Банд Ейд изпълнява началото на песента 'Знаят ли че е Коледа'?","Пол Йънг","Марк Хопус"
"Кои две числа са използвани от двоичната бройна система?","1 и 0","0 и 1"
"Джеймс Ърл Рей е виновен за смъртта на кого през 1968 г.?","Мартин Лутър Кинг","Джон Ф. Кенеди"
"По какъв предизвикателен начин Даниел от Карате Кид улавя муха?","Използвайки клечки за хранене","С бързи движения с ръце и крака"
"Коя група изпълнява хитовата песен Счупени Крила от 80-те години?","Мистър Мистър","1984 г"
"Кои са основните четири кръвни групи?","А, В, АВ, О","A, B, AB и O"
"Кои две актриси играят главните роли във филма от 1992 г. - Неомъжена бяла жена?","Бриджит Фонда и Дженифър Джейсън Лий","Джейн Качмарек и Кейт Нелсън"
"Кои са актьорите които играят главните роли във филма от 1986 г. Тримата амиго?","Чеви Чейс, Стив Мартин, Мартин Шорт","Антонио Бандерас, Емилио Естевес, Антъни Рап"
"Кои три елемента изграждат въглехидратите?","Въглерод, водород и кислород","Монозахариди, дизахариди, полизахариди"
"Какъв цвят са вертикалните ивици на италианското знаме?","Зелено, бяло и червено","Зелено, бяло и червено"
"Кои са двата традиционни цвята на Уимбълдън?","Зелено и лилаво","Зелено и бяло"
"Лицата на кои четирима американски президенти са изваяни на планината Ръшмор?","Джордж Вашингтон, Томас Джеферсън, Теодор Рузвелт и Ейбрахам Линкълн","Джордж Вашингтон, Томас Джеферсън, Теодор Рузвелт, Ейбрахам Линкълн"
