Question,Answers,Predicted Answers
Who was the senior US diplomat held in the US Embassy in Tehran?,Bruce Laingen.,Answer: The senior US diplomat held in the US Embassy in Tehran during the 1979 hostage crisis was Ambassador William Sullivan.
Who were the first two men to drive on the Moon?,David Scott and James Irwin.,Answer: Neil Armstrong and Buzz Aldrin were the first two men to drive on the Moon in 1969 during the Apollo 11 mission.
Where is the Great White Way?,New York (Broadway),"The Great White Way refers to 42nd Street in New York City, known for its theaters and Broadway productions."
Which hospital was Princess Diana taken to after her tragic car accident?,La Pitie-Salpetriere.,Answer: Princess Diana was taken to Pitie-Salpêtrière Hospital in Paris after her car accident.
Which two Middle-Eastern countries fought a war from 1980 to 1988?,Iran and Iraq.,Answer: Iraq and Iran.
With what is the Japanese art of bonsai concerned?,Miniature Trees.,"The Japanese art of bonsai involves growing and shaping miniature trees to resemble mature, full-sized ones."
Which two countries have a border with Liechtenstein?,Switzerland and Austria.,Answer: Austria and Switzerland.
How often are American presidential elections held?,Every four years.,Answer: Presidential elections in America are held every four years.
Which are the two main political parties in the USA?,Democrats and Republicans.,The two major political parties in the USA are the Democratic Party and the Republican Party.
For what purpose did Melvil Dewey devise his decimal system in 1876?,Classifying books.,"Melvil Dewey devised his decimal system in 1876 for organizing library collections by assigning a unique number to each subject area, facilitating easy and efficient retrieval of books."
What kind of elements are found in a pure state in nature?,Native elements.,"Elements are substances that cannot be broken down into simpler substances through chemical reactions. In their pure state, they exist naturally as individual atoms or molecules. Common elements include hydrogen, oxygen, carbon, nitrogen, and iron."
Which quantity has direction as well as magnitude?,Vector quantity.,"Answer: A vector quantity has both direction and magnitude. Examples include velocity, force, and position."
What is studied in the science of cryogenics?,Very low temperature.,"The science of cryogenics deals with the production and effects of extremely low temperatures, typically below -150 degrees Celsius. It involves the study and application of substances in their liquid or solid state at very low temperatures, including the properties of these states and the equipment used to achieve and maintain them. Cryogenics is used in various industries such as medicine, food storage, and scientific research."
What kind of an animal is a marmoset?,An American monkey.,"Answer: A marmoset is a type of primate, specifically a New World monkey."
Why do fish have gills?,To absorb oxygen.,Fish have gills to extract oxygen from water for respiration and excrete carbon dioxide.
Machiavelli used which plant's name as the title of one of his books?,Mandrake,"Answer: ""The Prince"" is not named after a plant, but rather after the concept of a prince or ruler in Italian politics. Machiavellianism refers to his political ideas presented in this book."
When might a person show rapid eye movement (REM)?,During sleep.,"A person typically shows Rapid Eye Movement (REM) during sleep, specifically during the REM stage of the sleep cycle. This usually occurs every 90-120 minutes during the night, with each episode lasting around 10-30 minutes."
Which two planets take less time than Earth to orbit the sun?,Mercury and Venus.,Answer: Venus and Mercury orbit the sun faster than Earth.
"What was the name of two space probes launched in 1977 which sent back remarkable pictures of Jupiter, Saturn, Uranus and Neptune?",Voyager 1 and Voyager 2,"Voyager 1 and Voyager 2. These spaceprobes were launched on September 5, 1977, and August 15, 1977, respectively. They provided unprecedented images and data about Jupiter, Saturn, Uranus, and Neptune."
What is the defining feature of a neutron star?,Great density.,"A neutron star is an extremely dense celestial object formed from the collapsed core of a massive star, with a diameter of about 10-20 kilometers and a mass around that of the Sun, but packed into a space smaller than a city. Its defining feature is its incredibly high density, which makes it the densest known astronomical object. Neutron stars are composed mainly of neutrons and have no nuclear reactions in their cores, emitting most of their radiation in X-rays and gamma rays."
The Ural Mountains form a natural border between which two continents?,Asia and Europe.,Answer: Europe and Asia.
"What did Nicholas Copernicus argue was at the centre of our universe, and what was the common belief before then?",The Sun - before then people believed it was the Earth.,"Answer: Nicholas Copernicus argued that the Sun, not the Earth, is at the center of our universe. Before Copernicus, the common belief was that the Earth was at the center of the universe with all other planets revolving around it."
Which male singer sang the opening line of the original Band Aid single Do They Know It's Christmas?,Paul Young's.,"The male singer who sang the opening line of the original Band Aid single ""Do They Know It's Christmas?"" is Bono from U2."
The binary system of numbers uses which two numerical digits?,1 and 0.,Answer: The binary system uses only two numerical digits: 0 and 1.
James Earl Ray was responsible for who's death in 1968?,Martin Luther King's,Answer: Martin Luther King Jr.
What was the challanging method of catching a fly asked of Daniel in the film The Karate Kid?,Using chopsticks to do it.,"Answer: In ""The Karate Kid,"" Daniel was asked to catch a flying fly using only karate moves without touching it directly or making it fly away again. This challenge helped him develop focus and precision."
Which band had a hit in the 1980s with the single Broken Wings?,Mr. Mister.,"Answer: The band ""Mr. Mister"" had a hit in the 1980s with the single ""Broken Wings""."
What are the main four blood groups?,"A, B, AB and O","Answer: A, B, AB, O."
Which two actresses play the leading roles in the 1992 film Single White Female?,Bridget Fonda and Jennifer Jason Leigh,Answer: Jennifer Jason Leigh and Gwyneth Paltrow.
Who played the title roles in the 1986 film The Three Amigos?,"Chevy Chase, Steve Martin, Martin Short","Answer: Steve Martin, Chevy Chase, and Marty Short played the title roles in the 1986 film ""The Three Amigos."""
Which three elements make up carbohydrates?,"Carbon, Hydrogen and Oxygen","Answer: Carbohydrates are composed of hydrogen, oxygen, and carbon in a 2:1:1 ratio, with the main building blocks being simple sugars (monosaccharides), disaccharides, or polysaccharides."
What colour are the vertical stripes of the Italian Flag?,"Green, White and Red.","Answer: The vertical stripes of the Italian flag are green, white, and red."
What are the two traditional colours of Wimbledon?,Green and Purple.,Answer: The two traditional colors of Wimbledon are green and purple.
Which four American Presidents have their faces scultped on Mount Rushmore?,"George Washington, Thomas Jefferson, Theodore Roosevelt and Abraham Lincoln.","Answer: George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln."
"In four colour process printing, which is also known as CMYK, which are the only four colours that are used?","Cyan, Magenta, Yellow and Black","Answer: Cyan, Magenta, Yellow, and Key/Black."
What are the first four books of the Bible?,"Genesis, Exodus, Leviticus, Numbers","Answer: Genesis, Exodus, Leviticus, and Numbers. These are the first books in the Christian Old Testament. In the Jewish Tanakh, they are called Genesis, Exodus, Leviticus, and Numbers as well, but they are ordered differently in some other canonical traditions, such as the Ethiopian Orthodox Church and the Septuagint."
Which four American states begin with the letter I?,"Idaho, Illinois, Indiana and Iowa","Answer: Illinois, Indiana, Iowa, and Idaho."
Bon Scott was the lead singer for which famous rock band?,AC/DC,"Answer: ""AC/DC"""
"What are the first names of the four children who enter Narnia in The Lion, The Witch And The Wardrobe?","Lucy, Peter, Susan and Edmund","Answer: Edmund, Lucy, Peter, and Susan."
"Eye for eye, tooth for tooth.  According to Exodus what comes next?","Hand for hand, foot for foot","Answer: ""A life for a life, an eye for an eye, a tooth for a tooth, a hand for a hand, a foot for a foot, a burn for a burn, a wound for a wound, a stripe for a stripe."" (Exodus 21:24)"
"What was the name of the cat that survived the sinking of the Bismarck, HMS Cossack and the HMS Ark Royal in WW II ?"," ""Unsinkable Sam""","There is no recorded evidence of a cat named Survivor or any specific cat surviving the sinking of the German battleship Bismarck, the British destroyer HMS Cossack, and the aircraft carrier HMS Ark Royal during World War II. The stories of cats surviving such events are likely to be myths or urban legends."
What are the dry constituents of dry Martini?,Gin and Vermouth,"Answer: Dry Martini's main ingredients are gin and dry vermouth, with a green olive or lemon peel for garnish. The term ""dry"" refers to the minimal amount of vermouth used in the cocktail."
What was the world's first jet-driven airliner to enter commercial service?,The Comet.,"The world's first jet-driven airliner to enter commercial service was the De Havilland Comet 1, which made its inaugural flight on July 27, 1952."
Where do locusts lay their eggs?,In sand.,Answer: Locusts lay their eggs in the ground.
The geographic region of Patagonia is situated between which two South American countries?,Argentina and Chile.,Argentina and Chile.
Where in the human body would you find the scaphoid bone?,In the wrist.,"Answer: The scaphoid bone is located in the wrist, specifically in the carpal bones of the hand."
Who won a gold medal in the 100 metres breaststroke at the 1980 Olympics in Moscow?,Duncan Goodhew,"Answer: ""Rollo Mainoldi won a gold medal in the 100 metres breaststroke at the 1980 Olympics in Moscow for the United States."""
"Who won the gold medal in the heptathlon in the 2000 Olympics?""",Denise Lewis.,Answer: Mykyzina Mikhalina won the gold medal in the heptathlon at the 2000 Olympics.
Name any year that Leonardo Da Vinci was alive.,1452 - 1519.,Answer: Leonardo Da Vinci lived from 1452 to 1519.
The Smurfs are described as being how tall?,Three apples high.,Answer: The Smurfs are described as being 2 feet tall.
What temperature is the same in Celsius as it is in Fahrenheit?,-40 degrees.,Answer: 0°C is equal to 32°F.
What are the two main ingredients of Hollandaise sauce?,Egg yolks and butter.,"Answer: ""Butter and egg yolks"""
"On a beach, what colours are the flags denoting a lifeguard area?",Red and Yellow.,Answer: Red and yellow or red and green flags denote a lifeguard area on a beach.
The 1993 movie Free Willy was centred around what type of animal?,Killer Whale (Orca).,Answer: A killer whale.
Which element is most common in the human body?,Oxygen 65%.,"Oxygen, making up about 65% of the human body. (Note: This refers to the total body weight, not the percentage in individual cells or tissues.)"
Which two elements would you find at the centre of the Earth?,Iron and Nickel.,"The center of the Earth is not accessible, and there is no definitive answer as to what specific elements or materials are present at its exact core. Scientists believe that the inner core consists primarily of iron and nickel, while the outer core is a liquid outer layer also composed mainly of iron. However, the precise composition and distribution of elements in the Earth's core remain topics of ongoing research."
"In 1967, Louis Washkansky became the first person to receive what?",A human heart transplant.,Answer: A heart transplant.
"What size is an Olympic sized ice rink used for figure skating and ice hockey? Is it 25x50 metres, 27.5x50 metres, or 30x60 metres?",30x60 metres,An Olympic-sized ice rink used for figure skating and ice hockey is typically 60x30 meters (197x100 feet). This size is in accordance with International Ice Hockey Federation (IIHF) and International Skating Union (ISU) regulations for international competitions.
Name the two female characters in Scooby Doo?,Daphne and Velma.,Answer: Velma and Daphne.
Who scored the first ever Golden Goal in the 1998 World Cup?,Laurent Blanc.,Answer: Mauricio Taricco (Argentina) scored the first ever Golden Goal in the 1998 World Cup against South Korea.
Who crowned Napoleon as Emperor?,He crowned himself.,Answer: Napoleon crowoned himself as Emperor. He did not have a monarch to crown him.
The Titanic had three anchors.What was their combined weight (in tons)?,31 tons.,"Answer: The combined weight of the Titanic's three anchors was approximately 13,600 tons."
How long is a dog watch at sea?,Two hours.,A dog watch is a period of time at sea lasting 4 hours.
What is the capital of Switzerland?,Bern or Berne.,"Answer: Bern or Zurich (federal capital administration is in Bern, but Zurich is the largest city)"
