Question,Answer
"Ile mil długości ma kanał łączący Pacyfik z Atlantykiem?","50 mil"
"Który artysta stworzył Katzenjammer Kids?","Rudolph Dirks"
"Jaką niepełnosprawność miał piosenkarz Al Hibbler?","Był niewidomy"
"Która supermodelka była żoną Roda Stewarta?","Rachel Hunter"
"Z jaką supermodelką był związany Joaquin Cortes w 1996 roku?","Naomi Campbell"
"Jak nazywał się rzecznik NATO podczas kryzysu w Kosowie w 1999 roku?","Jamie Shea"
"Kto był obrońcą tytułu, gdy Andre Agassi po raz pierwszy wygrał Wimbledon?","Michael Stich"
"Jak zmarł James F. Fixx, propagator joggingu dla zdrowia, w 1984 roku?","Zawał serca podczas joggingu"
"Jak nazywał się pierwszy satelita meteorologiczny?","Tiros"
"Jaki był pierwszy album Elvisa Presleya, który nie zawierał jego imienia w tytule?","King Creole"
"Kto wygrał pierwszy od 40 lat amerykański finał French Open w latach 90.?","Jim Courier"
"Kto prowadził pierwsze odcinki kreskówek Różowa Pantera?","Lenny Schulz"
"Kto w serialu Makin' It grał postać przypominającą Johna Travoltę?","Billy Manucci"
"Aktor, który grał Jacka Gellera w serialu Przyjaciele, był żonaty z którą gwiazdą?","Elliott Gould poślubił Barbrę Streisand"
"Kto był pierwszym socjalistycznym premierem Grecji?","Papandreu"
"Kto pokonał najlepszy czas Carla Lewisa wynoszący 9,86 sekundy na 100 metrów?","Leroy Burrell"
"Jak nazywa się ostatni francuski zwycięzca singla na Wimbledonie w tym stuleciu?","Yvon Petra"
"Kto był najstarszym zwycięzcą US Open w golfie w XX wieku?","Hale Irwin"
"Gdzie wraca wiadomość e-mail, która została odrzucona?","Nadawca"
"Kto był najwyższym rangą amerykańskim dyplomatą przetrzymywanym w ambasadzie w Teheranie?","Bruce Laingen"
"Kim byli dwaj pierwsi ludzie, którzy jeździli po powierzchni Księżyca?","David Scott i James Irwin"
"Gdzie znajduje się Great White Way?","Nowy Jork (Broadway)"
"Do którego szpitala przewieziono księżną Dianę po tragicznym wypadku?","La Pitié-Salpêtrière"
"Które dwa kraje Bliskiego Wschodu toczyły wojnę w latach 1980–1988?","Iran i Irak"
"Z czym związana jest japońska sztuka bonsai?","Miniaturowe drzewa"
"Które dwa kraje graniczą z Liechtensteinem?","Szwajcaria i Austria"
"Jak często odbywają się wybory prezydenckie w USA?","Co cztery lata"
"Jakie są dwie główne partie polityczne w USA?","Demokraci i Republikanie"
"W jakim celu Melvil Dewey opracował swój system dziesiętny w 1876 roku?","Klasyfikowanie książek"
"Jakie pierwiastki występują w stanie czystym w naturze?","Pierwiastki rodzime"
"Która wielkość ma zarówno kierunek, jak i wartość?","Wielkość wektorowa"
"Co jest przedmiotem badań nauki zwanej kriogeniką?","Bardzo niskie temperatury"
"Jakim zwierzęciem jest marmozeta?","Amerykańska małpa"
"Dlaczego ryby mają skrzela?","Aby wchłaniać tlen"
"Nazwę jakiej rośliny Machiavelli wykorzystał jako tytuł jednej ze swoich książek?","Mandragora"
"Kiedy u człowieka może wystąpić szybki ruch gałek ocznych (REM)?","Podczas snu"
"Które dwie planety potrzebują mniej czasu niż Ziemia na okrążenie Słońca?","Merkury i Wenus"
"Jak nazywały się dwie sondy kosmiczne wystrzelone w 1977 roku, które przesłały niezwykłe zdjęcia Jowisza, Saturna, Urana i Neptuna?","Voyager 1 i Voyager 2"
"Jaka jest charakterystyczna cecha gwiazdy neutronowej?","Wielka gęstość"
"Góry Ural tworzą naturalną granicę między którymi dwoma kontynentami?","Azją i Europą"
"Co według Mikołaja Kopernika znajdowało się w centrum naszego wszechświata i jakie było powszechne przekonanie przed tym?","Słońce - wcześniej ludzie wierzyli, że to Ziemia"
"Który męski wokalista zaśpiewał pierwszą linijkę oryginalnego singla Band Aid ""Do They Know It's Christmas""?","Paul Young"
"Który system binarny liczb używa których dwóch cyfr?","1 i 0"
"Za czyją śmierć w 1968 roku był odpowiedzialny James Earl Ray?","Martina Luthera Kinga"
"Jaka była trudna metoda łapania muchy, o którą poproszono Daniela w filmie Karate Kid?","Użycie pałeczek do jej złapania"
"Który zespół miał hit w latach 80. z singlem ""Broken Wings""?","Mr. Mister"
"Jakie są główne cztery grupy krwi?","A, B, AB i 0"
"Które dwie aktorki grają główne role w filmie ""Bezdomna"" z 1992 roku?","Bridget Fonda i Jennifer Jason Leigh"
"Kto zagrał główne role w filmie ""Trzej Amigos"" z 1986 roku?","Chevy Chase, Steve Martin, Martin Short"
"Z jakich trzech pierwiastków składają się węglowodany?","Węgiel, Wodór i Tlen"
"Jakiego koloru są pionowe pasy na fladze włoskiej?","Zielony, Biały i Czerwony"
"Jakie są dwa tradycyjne kolory Wimbledonu?","Zielony i Fioletowy"
"Których czterech amerykańskich prezydentów twarze są wyrzeźbione na Mount Rushmore?","George Washington, Thomas Jefferson, Theodore Roosevelt i Abraham Lincoln"
"W druku czterokolorowym, znanym również jako CMYK, jakie cztery kolory są używane?","Cyjan, Magenta, Żółty i Czarny"
"Jakie są pierwsze cztery księgi Biblii?","Księga Rodzaju, Księga Wyjścia, Księga Kapłańska, Księga Liczb"
"Które cztery amerykańskie stany zaczynają się na literę I?","Idaho, Illinois, Indiana i Iowa"
"Bon Scott był wokalistą którego słynnego zespołu rockowego?","AC/DC"
"Jakie są imiona czworga dzieci, które wchodzą do Narnii w 'Lwie, Czarownicy i starej szafie'?","Lucy, Peter, Susan i Edmund"
"Oko za oko, ząb za ząb. Według Księgi Wyjścia, co następuje dalej?","Ręka za rękę, noga za nogę"
"Jak nazywał się kot, który przeżył zatopienie Bismarcka, HMS Cossack i HMS Ark Royal podczas II wojny światowej?","Niezatapialny Sam"
"Jakie są suche składniki suchego Martini?","Gin i Wermut"
"Jaki był pierwszy na świecie odrzutowy samolot pasażerski wprowadzony do służby komercyjnej?","Comet"
"Gdzie szarańcza składa jaja?","W piasku"
"Region geograficzny Patagonii znajduje się między którymi dwoma krajami Ameryki Południowej?","Argentyną i Chile"
"Gdzie w ludzkim ciele znajduje się kość łódeczkowata?","W nadgarstku"
"Kto zdobył złoty medal w pływaniu na 100 metrów stylem klasycznym na Olimpiadzie w Moskwie w 1980 roku?","Duncan Goodhew"
"Kto zdobył złoty medal w siedmioboju na Olimpiadzie w 2000 roku?","Denise Lewis"
"Podaj dowolny rok z życia Leonardo Da Vinci.","1452 - 1519"
"Jakiego wzrostu są podobno Smerfy?","Wysokości trzech jabłek"
"Jaka temperatura jest taka sama w stopniach Celsjusza i Fahrenheita?","-40 stopni"
"Jakie są dwa główne składniki sosu holenderskiego?","Żółtka jaj i masło"
"Jakie kolory mają flagi oznaczające strefę ratowników na plaży?","Czerwony i Żółty"
"Film ""Uwolnić orkę"" z 1993 roku opowiadał o jakim zwierzęciu?","Orka (Wieloryb zabójca)"
"Który pierwiastek jest najpowszechniejszy w ludzkim ciele?","Tlen 65%"
"Jakie dwa pierwiastki można znaleźć w centrum Ziemi?","Żelazo i Nikiel"
"Co jako pierwszy otrzymał Louis Washkansky w 1967 roku?","Przeszczep ludzkiego serca"
"Jakie wymiary ma olimpijski lodowisko do łyżwiarstwa figurowego i hokeja? Czy 25x50 metrów, 27.5x50 metrów, czy 30x60 metrów?","30x60 metrów"
"Wymień dwie żeńskie postacie z kreskówki Scooby Doo?","Daphne i Velma"
"Kto strzelił pierwszego Złotego Gola na Mistrzostwach Świata w 1998 roku?","Laurent Blanc"
"Kto koronował Napoleona na cesarza?","Sam się koronował"
"Titanic miał trzy kotwice. Jaka była ich łączna waga (w tonach)?","31 ton"
"Jak długa jest psia warta na morzu?","Dwie godziny"
"Jakie jest stolica Szwajcarii?","Berno" 
