Question,Answers
"Кои са двата традиционни цвята на Уимбълдън?","Зелено и лилаво"
"Лицата на кои четирима американски президенти са изваяни на планината Ръшмор?","Джордж Вашингтон, Томас Джеферсън, Теодор Рузвелт и Ейбрахам Линкълн"
"Кои са единствените четири цвята, които се използват в четирицветния процес на печат, който също е известен като ЦМИК?","Циан, магента, жълто и черно"
"Кои са първите четири книги на Библията?","Битие, Изход, Левит, Числа"
"Кои четири американски щата започват с английската буква 'I'","Айдахо, Илинойс, Индиана и Айова"
"Бон Скот беше вокал на коя известна рок група?","Ей Си/Ди Си"
"Какви са първите имена на четирите деца, които влизат в Нарния в 'Лъвът, вещицата и гардеробът'?","Луси, Питър, Сюзън и Едмънд"
"'Око за око', 'зъб за зъб'. Според книгата Изход в Библията какво следва?","Ръка за ръка, крак за крак"
"Какво е името на котката, оцеляла след потъването на 'Бисмарк', 'Косак' и 'Арк Роял' през Втората световна война?","Непотопяемият Сам"
"Какви са сухите съставки на Сухото мартини?","Джин и вермут"
"Кой е първият в света самолет с реактивно задвижване, който влиза в търговска експлоатация?","Кометата"
"На какво място си снасят яйцата скакалците?","В почвата"
"Географската област Патагония е разположена между кои две южноамерикански държави?","Аржентина и Чили"
"Къде в човешкото тяло се намера скафоидната кост?","В китката"
"Кой печели златния медал на 100 метра бруст на Олимпиадата през 1980 г. в Москва?","Дънкан Гудхю"
"Кой печели златния медал в седмобоя на Олимпийските игри през 2000 г.?","Дениз Луис"
"Назовете всяка година през която Леонардо да Винчи е бил жив","1452-1519"
"Смърфовете са описани като колко високи?","Колкото три ябълки"
"Каква температура е еднаква по Целзий и по Фаренхайт?","-40 градуса"
"Кои са двете основни съставки на соса Холандез?","Яйцени жълтъци и масло"
"На плажа какви цветове са знамената, обозначаващи зона за спасители?","Червено и жълто"
"Филмът 'Волният Уили' от 1993 г. се съсредоточава около какъв тип животно?","Косатка"
"Кой химичен елемент е най-разпространен в човешкото тяло?","Кислород - 65%"
"Кои два химични елемента могат да бъдат намерени в центъра на Земята?","Желязо и Никел"
"През 1967 г. Луис Вашкански става първият човек, получил какво?","Трансплантация на сърце"
"Какви са размерите на ледената пързалка, по олимпийски стандарти, използвана за фигурно пързаляне и хокей на лед? Дали е 25x50 метра, 27,5x50 метра или 30x60 метра?","40х60 метра"
"Назовете двете женски герои в Скуби Ду?","Дафне и Велма"
"Кой отбелязва първия 'златен гол' на Световното първенство през 1998 г.?","Лоран Блан"
"Кой коронясва Наполеон за император?","Той сам се коронясва"
"Корабът 'Титаник' имал три котви. Колко е било общото им тегло (в тонове)?","31 тона"
"Колко време трае една къса ,'кучешка', вахта обикновено?","Два часа"
"Коя е столицата на Швейцария?","Берн"
